choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
377,376,0-1__2__3__4__5__6__7__8-9__10__11-12__13-14__15,5.207309497766131,0.8413908996656607,"[0, 8, 11, 13]",12,"[160, 80, 80, 80, 80, 80, 80, 160, 80, 160, 160, 80]"
378,377,0__1-2__3-4__5__6__7__8__9__10__11__12-13__14-15,5.207519118736916,0.8416005206364456,"[1, 3, 12, 14]",12,"[80, 160, 160, 80, 80, 80, 80, 80, 80, 80, 160, 160]"
379,378,0__1-2__3__4-5__6__7__8__9-10__11__12__13-14__15,5.208326789524082,0.8424081914236119,"[1, 4, 9, 13]",12,"[80, 160, 80, 160, 80, 80, 80, 160, 80, 80, 160, 80]"
380,379,0-1__2-3__4-5__6__7__8__9__10__11__12__13-14__15,5.20901421670923,0.8430956186087597,"[0, 2, 4, 13]",12,"[160, 160, 160, 80, 80, 80, 80, 80, 80, 80, 160, 80]"
381,380,0-1__2__3__4-5__6-7__8__9__10-11__12__13__14__15,5.209041784236159,0.8431231861356885,"[0, 4, 6, 10]",12,"[160, 80, 80, 160, 160, 80, 80, 160, 80, 80, 80, 80]"
382,381,0__1__2-3__4__5__6__7-8__9-10__11__12-13__14__15,5.209415172435205,0.8434965743347345,"[2, 7, 9, 12]",12,"[80, 80, 160, 80, 80, 80, 160, 160, 80, 160, 80, 80]"
383,382,0__1__2__3__4-5__6__7__8-9__10__11-12__13-14__15,5.209432944058206,0.8435143459577361,"[4, 8, 11, 13]",12,"[80, 80, 80, 80, 160, 80, 80, 160, 80, 160, 160, 80]"
384,383,0__1__2__3-4__5__6__7-8__9__10-11__12__13-14__15,5.210200299498855,0.8442817013983852,"[3, 7, 10, 13]",12,"[80, 80, 80, 160, 80, 80, 160, 80, 160, 80, 160, 80]"
385,384,0-1__2__3__4-5__6__7__8__9-10__11__12-13__14__15,5.21064851803747,0.8447299199369995,"[0, 4, 9, 12]",12,"[160, 80, 80, 160, 80, 80, 80, 160, 80, 160, 80, 80]"
386,385,0-1__2__3__4__5-6__7__8-9__10-11__12__13__14__15,5.2109396753656085,0.8450210772651383,"[0, 5, 8, 10]",12,"[160, 80, 80, 80, 160, 80, 160, 160, 80, 80, 80, 80]"
387,386,0-1__2__3__4__5__6__7-8__9-10__11-12__13__14__15,5.2111962878692415,0.8452776897687713,"[0, 7, 9, 11]",12,"[160, 80, 80, 80, 80, 80, 160, 160, 160, 80, 80, 80]"
388,387,0__1-2__3__4__5__6__7-8__9__10-11__12__13__14-15,5.2112831151147505,0.8453645170142803,"[1, 7, 10, 14]",12,"[80, 160, 80, 80, 80, 80, 160, 80, 160, 80, 80, 160]"
389,388,0__1__2__3__4-5__6__7-8__9__10__11-12__13-14__15,5.211683848037048,0.8457652499365782,"[4, 7, 11, 13]",12,"[80, 80, 80, 80, 160, 80, 160, 80, 80, 160, 160, 80]"
390,389,0__1__2__3__4-5__6__7-8__9__10__11-12__13__14-15,5.213773052014214,0.8478544539137438,"[4, 7, 11, 14]",12,"[80, 80, 80, 80, 160, 80, 160, 80, 80, 160, 80, 160]"
391,390,0__1-2__3__4__5__6__7-8__9__10__11-12__13-14__15,5.2138668696085615,0.8479482715080913,"[1, 7, 11, 13]",12,"[80, 160, 80, 80, 80, 80, 160, 80, 80, 160, 160, 80]"
392,391,0__1__2-3__4-5__6__7-8__9__10__11-12__13__14__15,5.214314711058944,0.8483961129584738,"[2, 4, 7, 11]",12,"[80, 80, 160, 160, 80, 160, 80, 80, 160, 80, 80, 80]"
